Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type,latitude,longitude
,SP1450,414000,250000,,England,10.0,7,2009,2015,WCBS,52.148112,-1.7968146
,SP2798,427000,298000,,England,10.0,12,2009,2020,WCBS,52.579148,-1.6029847
,SP4077,440000,277000,,England,10.0,7,2009,2018,WCBS,52.389571,-1.4136629
,SE0113,401000,413000,,England,10.0,2,2009,2018,WCBS,53.613549,-1.9863581
,SE3753,437000,453000,,England,10.0,5,2009,2013,WCBS,53.971753,-1.4374257
,SE7231,472000,431000,,England,10.0,3,2009,2011,WCBS,53.770375,-0.9090898
,TA2236,522000,436000,,England,10.0,1,2009,2009,WCBS,53.805994,-0.14885481
,SU5647,456000,147000,,England,10.0,7,2009,2017,WCBS,51.219459,-1.1995449
,SK3496,434000,396000,,England,10.0,5,2009,2017,WCBS,53.459658,-1.4893973
,SN2542,225000,242000,,Wales,10.0,1,2006,2006,WCBS,52.048688,-4.5534542
,SP0848,408000,248000,,England,10.0,1,2006,2006,WCBS,52.130249,-1.884547
,ST2846,328000,146000,,England,10.0,1,2007,2007,WCBS,51.20865,-3.0320784
,SP9792,497000,292000,,England,10.0,1,2007,2007,WCBS,52.517261,-0.57194639
,SS8443,284000,143000,,England,10.0,2,2007,2008,WCBS,51.174435,-3.6607486
,SS8932,289000,132000,,England,10.0,1,2007,2007,WCBS,51.076554,-3.5858634
,SH9323,293000,323000,,Wales,10.0,2,2007,2008,WCBS,52.793921,-3.5882916
,SH9918,299000,318000,,Wales,10.0,2,2007,2008,WCBS,52.750146,-3.4978
,SH9919,299000,319000,,Wales,10.0,2,2007,2008,WCBS,52.759133,-3.4981084
,SJ5328,353000,328000,,England,10.0,1,2007,2007,WCBS,52.84744,-2.6993083
,TF7234,572000,334000,,England,10.0,1,2007,2007,WCBS,52.87597,0.55433412
,ST4445,344000,145000,,England,10.0,1,2007,2007,WCBS,51.201455,-2.8029059
