Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type
50712,,"TF7222",572000,322000,,"England",10,10,2011,2020,"WCBS"
50713,,"NS9872",298000,672000,,"Scotland",10,8,2011,2019,"WCBS"
50714,,"NR6014",160000,614000,,"Scotland",10,8,2011,2020,"WCBS"
50715,,"NR7227",172000,627000,,"Scotland",10,1,2011,2011,"WCBS"
50716,,"SU7964",479000,164000,,"England",10,1,2011,2011,"WCBS"
50717,,"SH7067",270000,367000,,"Wales",10,2,2013,2018,"WCBS"
50718,,"NY9971",399000,571000,,"England",10,9,2012,2020,"WCBS"
50719,,"TQ6212",562000,112000,,"England",10,1,2012,2012,"WCBS"
50720,,"SK1678",416000,378000,,"England",10,4,2012,2015,"WCBS"
50721,,"NX0366",203000,566000,,"Scotland",10,2,2012,2013,"WCBS"
50722,,"SN9331",293000,231000,,"Wales",10,7,2012,2018,"WCBS"
50723,,"NH9326",293000,826000,,"Scotland",10,5,2011,2020,"WCBS"
50724,,"SU3524",435000,124000,,"England",10,8,2012,2019,"WCBS"
50725,,"SE6218",462000,418000,,"England",10,1,2011,2011,"WCBS"
50726,,"J6165",172540,518188,,"Northern Ireland",10,6,2012,2019,"WCBS"
50727,,"SU2569",425000,169000,,"England",10,6,2012,2020,"WCBS"
50728,,"NH1110",211000,810000,,"Scotland",10,1,2009,2009,"WCBS"
50729,,"TL0253",502000,253000,,"England",10,3,2009,2011,"WCBS"
50730,,"NY1255",312000,555000,,"England",10,8,2009,2020,"WCBS"
50731,,"NY5882",358000,582000,,"England",10,1,2009,2009,"WCBS"
50732,,"SD4083",340000,483000,,"England",10,14,2007,2020,"WCBS"
50733,,"SD6793",367000,493000,,"England",10,5,2009,2018,"WCBS"
50734,,"SJ0272",302000,372000,,"Wales",10,6,2009,2014,"WCBS"
50735,,"SU5268",452000,168000,,"England",10,7,2009,2015,"WCBS"
50737,,"SS9190",291000,190000,,"Wales",10,9,2009,2020,"WCBS"
50738,,"SN7554",275000,254000,,"Wales",10,1,2009,2009,"WCBS"
50739,,"SJ6557",365000,357000,,"England",10,5,2009,2013,"WCBS"
50740,,"SJ7656",376000,356000,,"England",10,12,2009,2020,"WCBS"
50741,,"SJ7768",377000,368000,,"England",10,10,2007,2016,"WCBS"
50742,,"SJ2441",324000,341000,,"Wales",10,7,2009,2019,"WCBS"
50743,,"NZ1251",412000,551000,,"England",10,6,2009,2016,"WCBS"
50744,,"TL5011",550000,211000,,"England",10,9,2009,2019,"WCBS"
50745,,"SU3027",430000,127000,,"England",10,3,2007,2009,"WCBS"
50746,,"SU4132",441000,132000,,"England",10,10,2009,2020,"WCBS"
50747,,"SU6112",461000,112000,,"England",10,4,2007,2010,"WCBS"
50748,,"TQ9296",592000,196000,,"England",10,4,2009,2014,"WCBS"
50749,,"H2743",37078,507670,,"Northern Ireland",10,6,2009,2017,"WCBS"
50750,,"SN8002",280000,202000,,"Wales",10,12,2007,2020,"WCBS"
50751,,"SP6597",465000,297000,,"England",10,4,2009,2015,"WCBS"
50752,,"ST0173",301000,173000,,"Wales",10,9,2009,2019,"WCBS"
50753,,"SO8309",383000,209000,,"England",10,8,2009,2018,"WCBS"
50754,,"SP0410",404000,210000,,"England",10,8,2007,2014,"WCBS"
50755,,"ST8796",387000,196000,,"England",10,14,2007,2020,"WCBS"
50756,,"ST9198",391000,198000,,"England",10,8,2009,2016,"WCBS"
50757,,"ST9493",394000,193000,,"England",10,11,2009,2019,"WCBS"
50758,,"SO4202",342000,202000,,"Wales",10,5,2009,2014,"WCBS"
50759,,"ST2497",324000,197000,,"Wales",10,2,2009,2010,"WCBS"
50760,,"SK1978",419000,378000,,"England",10,11,2009,2020,"WCBS"
50761,,"SK2369",423000,369000,,"England",10,1,2009,2009,"WCBS"
50762,,"SK3248",432000,348000,,"England",10,11,2009,2020,"WCBS"
50763,,"SK7099",470000,399000,,"England",10,2,2009,2011,"WCBS"
50764,,"SX6281",262000,81000,,"England",10,3,2009,2019,"WCBS"
50765,,"SX7386",273000,86000,,"England",10,7,2009,2015,"WCBS"
50766,,"ST5406",354000,106000,,"England",10,9,2009,2019,"WCBS"
50767,,"ST6511",365000,111000,,"England",10,10,2009,2020,"WCBS"
50768,,"ST8518",385000,118000,,"England",10,10,2006,2018,"WCBS"
50769,,"SU0210",402000,110000,,"England",10,9,2009,2017,"WCBS"
50770,,"SY7388",373000,88000,,"England",10,11,2009,2020,"WCBS"
50771,,"TG3022",630000,322000,,"England",10,1,2009,2009,"WCBS"
50772,,"TG3033",630000,333000,,"England",10,9,2007,2015,"WCBS"
50773,,"TG4717",647000,317000,,"England",10,14,2007,2020,"WCBS"
50774,,"SU6231",462000,131000,,"England",10,7,2009,2020,"WCBS"
50775,,"SU6420",464000,120000,,"England",10,12,2009,2020,"WCBS"
50776,,"SU6630",466000,130000,,"England",10,12,2007,2019,"WCBS"
50777,,"SZ3191",431000,91000,,"England",10,3,2007,2009,"WCBS"
50778,,"TL0511",505000,211000,,"England",10,1,2009,2009,"WCBS"
50779,,"TL0717",507000,217000,,"England",10,3,2009,2011,"WCBS"
50780,,"TL3316",533000,216000,,"England",10,5,2009,2013,"WCBS"
50781,,"TL3618",536000,218000,,"England",10,12,2009,2020,"WCBS"
50782,,"TQ2397",523000,197000,,"England",10,1,2009,2009,"WCBS"
50783,,"NG2753",127000,853000,,"Scotland",10,1,2009,2009,"WCBS"
50784,,"TL2684",526000,284000,,"England",10,11,2009,2020,"WCBS"
50785,,"TQ8241",582000,141000,,"England",10,5,2009,2020,"WCBS"
50786,,"TQ9269",592000,169000,,"England",10,4,2007,2010,"WCBS"
50787,,"TR0438",604000,138000,,"England",10,10,2009,2018,"WCBS"
50788,,"TR3248",632000,148000,,"England",10,9,2007,2015,"WCBS"
50789,,"SP6996",469000,296000,,"England",10,8,2009,2016,"WCBS"
50790,,"SE8705",487000,405000,,"England",10,1,2009,2009,"WCBS"
50791,,"TA2012",520000,412000,,"England",10,2,2007,2009,"WCBS"
50792,,"SO2712",327000,212000,,"Wales",10,1,2009,2009,"WCBS"
50793,,"TF6920",569000,320000,,"England",10,6,2009,2015,"WCBS"
50794,,"TF7238",572000,338000,,"England",10,12,2007,2020,"WCBS"
50795,,"TF8313",583000,313000,,"England",10,6,2009,2015,"WCBS"
50796,,"TF9124",591000,324000,,"England",10,11,2009,2019,"WCBS"
50797,,"TG0941",609000,341000,,"England",10,6,2009,2014,"WCBS"
50798,,"SO3676",336000,276000,,"England",10,9,2007,2016,"WCBS"
50799,,"SS8838",288000,138000,,"England",10,12,2007,2020,"WCBS"
50800,,"SS9238",292000,138000,,"England",10,12,2007,2020,"WCBS"
50801,,"ST1340",313000,140000,,"England",10,13,2007,2020,"WCBS"
50802,,"TQ2061",520000,161000,,"England",10,2,2009,2010,"WCBS"
50803,,"SU7707",477000,107000,,"England",10,1,2009,2009,"WCBS"
50804,,"SU9620",496000,120000,,"England",10,12,2009,2020,"WCBS"
50805,,"SZ8299",482000,99000,,"England",10,9,2009,2017,"WCBS"
50806,,"TQ1223",512000,123000,,"England",10,5,2009,2014,"WCBS"
50807,,"ST7555",375000,155000,,"England",10,12,2007,2019,"WCBS"
50808,,"ST7943",379000,143000,,"England",10,13,2007,2020,"WCBS"
50809,,"ST7944",379000,144000,,"England",10,1,2009,2009,"WCBS"
50810,,"ST7954",379000,154000,,"England",10,14,2007,2020,"WCBS"
50811,,"SK0708",407000,308000,,"England",10,11,2009,2020,"WCBS"
50812,,"TM2144",621000,244000,,"England",10,10,2009,2019,"WCBS"
50813,,"TM5075",650000,275000,,"England",10,12,2009,2020,"WCBS"
50814,,"NO1957",319000,757000,,"Scotland",10,11,2009,2019,"WCBS"
50815,,"NT3549",335000,649000,,"Scotland",10,12,2009,2020,"WCBS"
50816,,"NH9545",295000,845000,,"Scotland",10,1,2007,2007,"WCBS"
50817,,"SD5017",350000,417000,,"England",10,2,2007,2010,"WCBS"
50818,,"TQ4726",547000,126000,,"England",10,12,2009,2020,"WCBS"
50819,,"TQ5023",550000,123000,,"England",10,1,2009,2009,"WCBS"
50820,,"TQ5036",550000,136000,,"England",10,8,2009,2018,"WCBS"
50821,,"TQ5829",558000,129000,,"England",10,5,2009,2014,"WCBS"
50822,,"SP2273",422000,273000,,"England",10,1,2009,2009,"WCBS"
50823,,"SP3552",435000,252000,,"England",10,2,2009,2011,"WCBS"
50824,,"ST9790",397000,190000,,"England",10,4,2009,2020,"WCBS"
50825,,"SO9476",394000,276000,,"England",10,14,2007,2020,"WCBS"
50826,,"SD9767",397000,467000,,"England",10,1,2009,2009,"WCBS"
50827,,"SE0430",404000,430000,,"England",10,12,2009,2020,"WCBS"
50828,,"SE1191",411000,491000,,"England",10,4,2009,2012,"WCBS"
50829,,"SE3246",432000,446000,,"England",10,10,2007,2016,"WCBS"
50830,,"SE3593",435000,493000,,"England",10,8,2009,2020,"WCBS"
50831,,"TR1847",618000,147000,,"England",10,7,2009,2020,"WCBS"
50832,,"SK2517",425000,317000,,"England",10,9,2009,2020,"WCBS"
50833,,"SO5414",354000,214000,,"Wales",10,1,2009,2009,"WCBS"
50834,,"SD5582",355000,482000,,"England",10,1,2006,2006,"WCBS"
50835,,"SO4786",347000,286000,,"England",10,1,2006,2006,"WCBS"
50836,,"NH3934",239000,834000,,"Scotland",10,1,2007,2007,"WCBS"
50837,,"SN0514",205000,214000,,"Wales",10,12,2007,2020,"WCBS"
50838,,"SN8523",285000,223000,,"Wales",10,1,2007,2007,"WCBS"
50839,,"SO0344",303000,244000,,"Wales",10,1,2007,2007,"WCBS"
50840,,"SO0741",307000,241000,,"Wales",10,1,2007,2007,"WCBS"
50841,,"ST0781",307000,181000,,"Wales",10,9,2007,2016,"WCBS"
50842,,"ST3244",332000,144000,,"England",10,1,2007,2007,"WCBS"
50843,,"SP5409",454000,209000,,"England",10,8,2007,2015,"WCBS"
50844,,"SP8837",488000,237000,,"England",10,2,2007,2008,"WCBS"
50845,,"SS8444",284000,144000,,"England",10,2,2007,2008,"WCBS"
50846,,"SS9041",290000,141000,,"England",10,2,2007,2008,"WCBS"
50847,,"SJ4200",342000,300000,,"England",10,1,2007,2007,"WCBS"
50848,,"SJ6838",368000,338000,,"England",10,3,2007,2020,"WCBS"
50849,,"SJ9272",392000,372000,,"England",10,1,2007,2007,"WCBS"
50850,,"TF6803",568000,303000,,"England",10,1,2007,2007,"WCBS"
50851,,"SU8154",481000,154000,,"England",10,6,2007,2020,"WCBS"
50852,,"TQ6248",562000,148000,,"England",10,1,2007,2007,"WCBS"
50853,,"SU8890",488000,190000,,"England",10,1,2006,2006,"WCBS"
50854,,"SY8283",382000,83000,,"England",10,1,2006,2006,"WCBS"
50855,,"SY8482",384000,82000,,"England",10,1,2006,2006,"WCBS"
50856,,"SY8483",384000,83000,,"England",10,1,2006,2006,"WCBS"
50857,,"TL6283",562000,283000,,"England",10,1,2006,2006,"WCBS"
50858,,"TQ7057",570000,157000,,"England",10,6,2006,2016,"WCBS"
50859,,"D2204",137010,560380,,"Northern Ireland",10,7,2011,2020,"WCBS"
50860,,"H7593",89218,553437,,"Northern Ireland",10,2,2010,2013,"WCBS"
50861,,"J0197",115480,555200,,"Northern Ireland",10,6,2010,2020,"WCBS"
50862,,"TL5142",551000,242000,,"England",10,1,2007,2007,"WCBS"
50863,,"TL6096",560000,296000,,"England",10,1,2007,2007,"WCBS"
50864,,"SN0107",201000,207000,,"Wales",10,8,2010,2020,"WCBS"
50865,,"SN5164",251000,264000,,"Wales",10,6,2010,2019,"WCBS"
50866,,"SD3511",335000,411000,,"England",10,4,2010,2020,"WCBS"
50867,,"SD4391",343000,491000,,"England",10,11,2010,2020,"WCBS"
50868,,"SD5044",350000,444000,,"England",10,10,2010,2019,"WCBS"
50869,,"SJ6478",364000,378000,,"England",10,4,2010,2014,"WCBS"
50870,,"SP7474",474000,274000,,"England",10,10,2010,2020,"WCBS"
50871,,"SP7870",478000,270000,,"England",10,5,2010,2020,"WCBS"
50872,,"ST8520",385000,120000,,"England",10,4,2010,2017,"WCBS"
50873,,"SO3962",339000,262000,,"England",10,6,2010,2015,"WCBS"
50874,,"SO7322",373000,222000,,"England",10,11,2010,2020,"WCBS"
50875,,"SO9524",395000,224000,,"England",10,11,2010,2020,"WCBS"
50876,,"SP1807",418000,207000,,"England",10,1,2010,2010,"WCBS"
50877,,"SU5828",458000,128000,,"England",10,1,2010,2010,"WCBS"
50879,,"SX6447",264000,47000,,"England",10,4,2010,2013,"WCBS"
50880,,"SY8780",387000,80000,,"England",10,11,2010,2020,"WCBS"
50881,,"TL0855",508000,255000,,"England",10,5,2010,2014,"WCBS"
50882,,"TQ3045",530000,145000,,"England",10,10,2010,2020,"WCBS"
50883,,"TQ5204",552000,104000,,"England",10,10,2010,2020,"WCBS"
50884,,"NY0287",302000,587000,,"Scotland",10,9,2012,2020,"WCBS"
50885,,"ST7202",372000,102000,,"England",10,10,2011,2020,"WCBS"
50886,,"SH4659",246000,359000,,"Wales",10,9,2012,2020,"WCBS"
50887,,"TQ5301",553000,101000,,"England",10,10,2011,2020,"WCBS"
50888,,"TL9315",593000,215000,,"England",10,11,2010,2020,"WCBS"
50889,,"SP9897",498000,297000,,"England",10,1,2012,2012,"WCBS"
50890,,"TL0367",503000,267000,,"England",10,8,2011,2018,"WCBS"
50891,,"NT1930",319000,630000,,"Scotland",10,5,2011,2019,"WCBS"
50892,,"SX8767",287000,67000,,"England",10,1,2012,2012,"WCBS"
50893,,"ST2528",325000,128000,,"England",10,1,2012,2012,"WCBS"
50894,,"SU6365",463000,165000,,"England",10,4,2012,2015,"WCBS"
50895,,"SO6212",362000,212000,,"England",10,8,2012,2020,"WCBS"
50896,,"SD5058",350000,458000,,"England",10,4,2012,2016,"WCBS"
50897,,"SO9514",395000,214000,,"England",10,9,2012,2020,"WCBS"
50898,,"TL0043",500000,243000,,"England",10,5,2011,2017,"WCBS"
50900,,"H2447",34426,511916,,"Northern Ireland",10,4,2011,2016,"WCBS"
50901,,"TF7611",576000,311000,,"England",10,2,2012,2013,"WCBS"
50902,,"NS5651",256000,651000,,"Scotland",10,10,2011,2020,"WCBS"
50903,,"NX0941",209000,541000,,"Scotland",10,1,2011,2011,"WCBS"
50904,,"TF6841",568000,341000,,"England",10,5,2011,2019,"WCBS"
50905,,"SJ3326",333000,326000,,"England",10,1,2011,2011,"WCBS"
50906,,"SO8911",389000,211000,,"England",10,3,2011,2013,"WCBS"
50907,,"NO2602",326000,702000,,"Scotland",10,2,2011,2013,"WCBS"
50908,,"NR9922",199000,622000,,"Scotland",10,1,2011,2011,"WCBS"
50909,,"SX6356",263000,56000,,"England",10,3,2011,2013,"WCBS"
50910,,"SU8583",485000,183000,,"England",10,9,2012,2020,"WCBS"
50911,,"SK6491",464000,391000,,"England",10,3,2011,2013,"WCBS"
50912,,"SU0101",401000,101000,,"England",10,8,2012,2020,"WCBS"
50913,,"SP8168",481000,268000,,"England",10,1,2012,2012,"WCBS"
50914,,"NT2515",325000,615000,,"Scotland",10,2,2011,2013,"WCBS"
50915,,"SJ4162",341000,362000,,"England",10,4,2012,2015,"WCBS"
50916,,"TQ2586",525000,186000,,"England",10,1,2012,2012,"WCBS"
50917,,"SO0433",304000,233000,,"Wales",10,1,2012,2012,"WCBS"
50918,,"NB9614",196000,914000,,"Scotland",10,2,2011,2013,"WCBS"
50919,,"NH2191",221000,891000,,"Scotland",10,1,2011,2011,"WCBS"
50920,,"SU0308",403000,108000,,"England",10,9,2011,2020,"WCBS"
50921,,"TL1724",517000,224000,,"England",10,1,2012,2012,"WCBS"
50922,,"TQ3228",532000,128000,,"England",10,1,2012,2012,"WCBS"
50923,,"H5250",62611,512522,,"Northern Ireland",10,4,2011,2017,"WCBS"
50925,,"SJ6869",368000,369000,,"England",10,1,2011,2011,"WCBS"
